Season,Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2024-25,0-4 yr,0,0,3082,3116,1045,250,0,189,0
2024-25,5-24 yr,0,0,7985,6883,2259,1260,0,1344,0
2024-25,25-64 yr,0,0,10809,13501,3212,873,0,863,0
2024-25,65+ yr,0,0,8890,13318,2371,107,0,80,0
2023-24,0-4 yr,0,0,777,1570,288,959,0,91,2
2023-24,5-24 yr,0,0,2459,4055,1076,3836,0,475,1
2023-24,25-64 yr,0,0,3447,6406,1860,2802,0,435,0
2023-24,65+ yr,0,0,2430,4085,884,224,0,32,0
2022-23,0-4 yr,0,0,1594,692,360,196,0,29,1
2022-23,5-24 yr,0,0,5771,2068,1774,508,0,96,1
2022-23,25-64 yr,0,0,4512,3000,1671,506,0,113,0
2022-23,65+ yr,0,0,3262,1602,492,17,0,7,0
2021-22,0-4 yr,0,0,2074,11,289,5,1,15,1
2021-22,5-24 yr,0,0,9908,58,2320,24,0,32,4
2021-22,25-64 yr,0,0,5490,23,2132,17,0,37,0
2021-22,65+ yr,0,0,2097,14,471,0,0,10,0
2020-21,0-4 yr,0,0,10,4,12,3,1,9,1
2020-21,5-24 yr,0,0,72,5,41,15,6,24,1
2020-21,25-64 yr,0,0,16,10,72,5,0,36,0
2020-21,65+ yr,0,0,1,4,16,0,0,12,0
