PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Connecticut,2020,40,X,1.09379,X,X,X,X,X,X,407,70,37210
States,Maine,2020,40,X,0.515914,X,X,X,X,X,X,65,42,12599
States,Massachusetts,2020,40,X,0.665719,X,X,X,X,X,X,431,97,64742
States,New Hampshire,2020,40,X,0.694816,X,X,X,X,X,X,13,11,1871
States,Rhode Island,2020,40,X,0.320671,X,X,X,X,X,X,39,27,12162
States,Vermont,2020,40,X,0.819441,X,X,X,X,X,X,29,11,3539
States,Connecticut,2020,41,X,1.21996,X,X,X,X,X,X,466,71,38198
States,Maine,2020,41,X,0.630762,X,X,X,X,X,X,91,54,14427
States,Massachusetts,2020,41,X,0.825342,X,X,X,X,X,X,488,90,59127
States,New Hampshire,2020,41,X,0.652884,X,X,X,X,X,X,12,11,1838
States,Rhode Island,2020,41,X,0.608853,X,X,X,X,X,X,74,25,12154
States,Vermont,2020,41,X,0.770952,X,X,X,X,X,X,31,12,4021
States,Connecticut,2020,42,X,1.26188,X,X,X,X,X,X,470,70,37246
States,Maine,2020,42,X,0.501782,X,X,X,X,X,X,69,53,13751
States,Massachusetts,2020,42,X,0.649545,X,X,X,X,X,X,369,90,56809
States,New Hampshire,2020,42,X,0.183824,X,X,X,X,X,X,3,9,1632
States,Rhode Island,2020,42,X,0.663176,X,X,X,X,X,X,76,26,11460
States,Vermont,2020,42,X,0.746454,X,X,X,X,X,X,30,13,4019
States,Connecticut,2020,43,X,1.07629,X,X,X,X,X,X,476,70,44226
States,Maine,2020,43,X,0.607947,X,X,X,X,X,X,84,53,13817
States,Massachusetts,2020,43,X,0.7103,X,X,X,X,X,X,401,89,56455
States,New Hampshire,2020,43,X,0.595238,X,X,X,X,X,X,12,11,2016
States,Rhode Island,2020,43,X,0.516046,X,X,X,X,X,X,64,29,12402
States,Vermont,2020,43,X,1.02891,X,X,X,X,X,X,42,14,4082
States,Connecticut,2020,44,X,1.43492,X,X,X,X,X,X,549,73,38260
States,Maine,2020,44,X,0.592571,X,X,X,X,X,X,82,53,13838
States,Massachusetts,2020,44,X,0.823689,X,X,X,X,X,X,437,90,53054
States,New Hampshire,2020,44,X,0.598504,X,X,X,X,X,X,12,11,2005
States,Rhode Island,2020,44,X,0.51116,X,X,X,X,X,X,60,29,11738
States,Vermont,2020,44,X,0.869565,X,X,X,X,X,X,31,13,3565
States,Connecticut,2020,45,X,1.29836,X,X,X,X,X,X,545,73,41976
States,Maine,2020,45,X,0.627554,X,X,X,X,X,X,86,53,13704
States,Massachusetts,2020,45,X,0.955625,X,X,X,X,X,X,547,92,57240
States,New Hampshire,2020,45,X,0.419287,X,X,X,X,X,X,8,11,1908
States,Rhode Island,2020,45,X,0.831048,X,X,X,X,X,X,100,30,12033
States,Vermont,2020,45,X,1.42379,X,X,X,X,X,X,34,11,2388
States,Connecticut,2020,46,X,1.31175,X,X,X,X,X,X,581,73,44292
States,Maine,2020,46,X,0.790861,X,X,X,X,X,X,108,52,13656
States,Massachusetts,2020,46,X,0.96886,X,X,X,X,X,X,584,93,60277
States,New Hampshire,2020,46,X,0.417755,X,X,X,X,X,X,8,11,1915
States,Rhode Island,2020,46,X,0.842625,X,X,X,X,X,X,99,28,11749
States,Vermont,2020,46,X,1.2008,X,X,X,X,X,X,36,12,2998
States,Connecticut,2020,47,X,1.2923,X,X,X,X,X,X,545,73,42173
States,Maine,2020,47,X,0.527215,X,X,X,X,X,X,71,53,13467
States,Massachusetts,2020,47,X,0.974493,X,X,X,X,X,X,562,91,57671
States,New Hampshire,2020,47,X,0.23175,X,X,X,X,X,X,4,11,1726
States,Rhode Island,2020,47,X,0.680722,X,X,X,X,X,X,72,26,10577
States,Vermont,2020,47,X,1.5507,X,X,X,X,X,X,39,12,2515
States,Connecticut,2020,48,X,1.19934,X,X,X,X,X,X,438,69,36520
States,Maine,2020,48,X,0.600462,X,X,X,X,X,X,65,53,10825
States,Massachusetts,2020,48,X,1.178,X,X,X,X,X,X,600,91,50934
States,New Hampshire,2020,48,X,0.0878735,X,X,X,X,X,X,1,11,1138
States,Rhode Island,2020,48,X,0.946781,X,X,X,X,X,X,95,30,10034
States,Vermont,2020,48,X,1.40845,X,X,X,X,X,X,31,12,2201
States,Connecticut,2020,49,X,1.42471,X,X,X,X,X,X,538,74,37762
States,Maine,2020,49,X,0.477042,X,X,X,X,X,X,56,52,11739
States,Massachusetts,2020,49,X,1.09717,X,X,X,X,X,X,641,91,58423
States,New Hampshire,2020,49,X,0.184957,X,X,X,X,X,X,3,11,1622
States,Rhode Island,2020,49,X,0.73622,X,X,X,X,X,X,76,29,10323
States,Vermont,2020,49,X,0.698174,X,X,X,X,X,X,26,11,3724
States,Connecticut,2020,50,X,1.50344,X,X,X,X,X,X,537,75,35718
States,Maine,2020,50,X,0.453317,X,X,X,X,X,X,52,52,11471
States,Massachusetts,2020,50,X,1.04216,X,X,X,X,X,X,590,92,56613
States,New Hampshire,2020,50,X,0.113636,X,X,X,X,X,X,2,11,1760
States,Rhode Island,2020,50,X,0.65941,X,X,X,X,X,X,63,29,9554
States,Vermont,2020,50,X,0.586601,X,X,X,X,X,X,19,11,3239
States,Connecticut,2020,51,X,1.11529,X,X,X,X,X,X,377,72,33803
States,Maine,2020,51,X,0.464165,X,X,X,X,X,X,59,52,12711
States,Massachusetts,2020,51,X,1.05308,X,X,X,X,X,X,548,91,52038
States,New Hampshire,2020,51,X,0.371287,X,X,X,X,X,X,6,11,1616
States,Rhode Island,2020,51,X,0.595171,X,X,X,X,X,X,53,29,8905
States,Vermont,2020,51,X,1.14555,X,X,X,X,X,X,34,11,2968
States,Connecticut,2020,52,X,1.16131,X,X,X,X,X,X,393,71,33841
States,Maine,2020,52,X,0.547834,X,X,X,X,X,X,54,51,9857
States,Massachusetts,2020,52,X,1.098,X,X,X,X,X,X,552,91,50273
States,New Hampshire,2020,52,X,0.261097,X,X,X,X,X,X,2,9,766
States,Rhode Island,2020,52,X,0.543881,X,X,X,X,X,X,44,27,8090
States,Vermont,2020,52,X,0.912548,X,X,X,X,X,X,24,10,2630
States,Connecticut,2020,53,X,0.987038,X,X,X,X,X,X,348,70,35257
States,Maine,2020,53,X,0.474547,X,X,X,X,X,X,55,52,11590
States,Massachusetts,2020,53,X,1.09182,X,X,X,X,X,X,571,92,52298
States,New Hampshire,2020,53,X,0.429799,X,X,X,X,X,X,3,9,698
States,Rhode Island,2020,53,X,0.576701,X,X,X,X,X,X,50,28,8670
States,Vermont,2020,53,X,1.12743,X,X,X,X,X,X,33,11,2927
States,Connecticut,2021,1,X,1.06793,X,X,X,X,X,X,393,72,36800
States,Maine,2021,1,X,0.431482,X,X,X,X,X,X,54,52,12515
States,Massachusetts,2021,1,X,0.991023,X,X,X,X,X,X,563,92,56810
States,New Hampshire,2021,1,X,0.235849,X,X,X,X,X,X,3,9,1272
States,Rhode Island,2021,1,X,0.730594,X,X,X,X,X,X,72,28,9855
States,Vermont,2021,1,X,0.904977,X,X,X,X,X,X,30,11,3315
States,Connecticut,2021,2,X,1.02049,X,X,X,X,X,X,369,73,36159
States,Maine,2021,2,X,0.438806,X,X,X,X,X,X,55,52,12534
States,Massachusetts,2021,2,X,0.772562,X,X,X,X,X,X,421,93,54494
States,New Hampshire,2021,2,X,0.0874126,X,X,X,X,X,X,1,9,1144
States,Rhode Island,2021,2,X,0.466845,X,X,X,X,X,X,49,30,10496
States,Vermont,2021,2,X,0.683371,X,X,X,X,X,X,21,11,3073
States,Connecticut,2021,3,X,0.700385,X,X,X,X,X,X,253,69,36123
States,Maine,2021,3,X,0.462008,X,X,X,X,X,X,56,52,12121
States,Massachusetts,2021,3,X,0.75212,X,X,X,X,X,X,400,92,53183
States,New Hampshire,2021,3,X,0,X,X,X,X,X,X,0,9,1068
States,Rhode Island,2021,3,X,0.550299,X,X,X,X,X,X,57,30,10358
States,Vermont,2021,3,X,0.541057,X,X,X,X,X,X,17,11,3142
States,Connecticut,2021,4,X,0.678323,X,X,X,X,X,X,232,69,34202
States,Maine,2021,4,X,0.346451,X,X,X,X,X,X,39,52,11257
States,Massachusetts,2021,4,X,0.74451,X,X,X,X,X,X,398,92,53458
States,New Hampshire,2021,4,X,0.820345,X,X,X,X,X,X,10,9,1219
States,Rhode Island,2021,4,X,0.544059,X,X,X,X,X,X,56,29,10293
States,Vermont,2021,4,X,0.729927,X,X,X,X,X,X,22,11,3014
States,Connecticut,2021,5,X,0.530589,X,X,X,X,X,X,183,69,34490
States,Maine,2021,5,X,0.41404,X,X,X,X,X,X,44,51,10627
States,Massachusetts,2021,5,X,0.56494,X,X,X,X,X,X,298,91,52749
States,New Hampshire,2021,5,X,0.145773,X,X,X,X,X,X,2,9,1372
States,Rhode Island,2021,5,X,0.356833,X,X,X,X,X,X,37,28,10369
States,Vermont,2021,5,X,0.733578,X,X,X,X,X,X,22,11,2999
States,Connecticut,2021,6,X,0.511167,X,X,X,X,X,X,176,69,34431
States,Maine,2021,6,X,0.109639,X,X,X,X,X,X,12,52,10945
States,Massachusetts,2021,6,X,0.525871,X,X,X,X,X,X,280,91,53245
States,New Hampshire,2021,6,X,0.335121,X,X,X,X,X,X,5,9,1492
States,Rhode Island,2021,6,X,0.260191,X,X,X,X,X,X,27,29,10377
States,Vermont,2021,6,X,0.633641,X,X,X,X,X,X,22,10,3472
States,Connecticut,2021,7,X,0.459269,X,X,X,X,X,X,156,69,33967
States,Maine,2021,7,X,0.323247,X,X,X,X,X,X,36,52,11137
States,Massachusetts,2021,7,X,0.510005,X,X,X,X,X,X,262,92,51372
States,New Hampshire,2021,7,X,0,X,X,X,X,X,X,0,9,1351
States,Rhode Island,2021,7,X,0.393248,X,X,X,X,X,X,41,29,10426
States,Vermont,2021,7,X,0.506706,X,X,X,X,X,X,17,11,3355
States,Connecticut,2021,8,X,0.452641,X,X,X,X,X,X,161,69,35569
States,Maine,2021,8,X,0.290299,X,X,X,X,X,X,36,52,12401
