Season, Virus,0-4 yr,5-24 yr,25-64 yr,65+ yr
2024-25,A (H3),3082,7985,10809,8890
2024-25,A (H1N1)pdm09,3116,6883,13501,13318
2024-25,A (Subtyping not Performed),1045,2259,3212,2371
2024-25,B (Victoria Lineage),250,1260,873,107
2024-25,B (Lineage Unspecified),189,1344,863,80
2023-24,A (H3),777,2459,3447,2430
2023-24,A (H1N1)pdm09,1570,4055,6406,4085
2023-24,A (Subtyping not Performed),288,1076,1860,884
2023-24,B (Victoria Lineage),959,3836,2802,224
2023-24,B (Lineage Unspecified),91,475,435,32
2023-24,H3N2v,2,1,0,0
2022-23,A (H3),1594,5771,4512,3262
2022-23,A (H1N1)pdm09,692,2068,3000,1602
2022-23,A (Subtyping not Performed),360,1774,1671,492
2022-23,B (Victoria Lineage),196,508,506,17
2022-23,B (Lineage Unspecified),29,96,113,7
2022-23,H3N2v,1,1,0,0
2021-22,A (H3),2074,9908,5490,2097
2021-22,A (H1N1)pdm09,11,58,23,14
2021-22,A (Subtyping not Performed),289,2320,2132,471
2021-22,B (Victoria Lineage),5,24,17,0
2021-22,B (Yamagata Lineage),1,0,0,0
2021-22,B (Lineage Unspecified),15,32,37,10
2021-22,H3N2v,1,4,0,0
2020-21,A (H3),10,72,16,1
2020-21,A (H1N1)pdm09,4,5,10,4
2020-21,A (Subtyping not Performed),12,41,72,16
2020-21,B (Victoria Lineage),3,15,5,0
2020-21,B (Yamagata Lineage),1,6,0,0
2020-21,B (Lineage Unspecified),9,24,36,12
2020-21,H3N2v,1,1,0,0
